Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:12bYYQaLqHliSXvRIYlq8G,"I Just Might","I Just Might","Bruno Mars",2026-01-09,212973,95,false,noor.verbrugge,2026-02-15T22:35:50Z,"","Atlantic Records",0.786,0.713,5,-6.193,1,0.0327,0.0541,0,0.133,0.876,102.997,4
spotify:track:7so0lgd0zP2Sbgs2d7a1SZ,"Die With A Smile","MAYHEM","Lady Gaga;Bruno Mars",2025-03-07,251667,88,false,noor.verbrugge,2026-02-15T22:36:08Z,"art pop,pop","Interscope Records",0.519,0.601,6,-7.727,0,0.0317,0.289,0,0.126,0.498,157.964,3
spotify:track:0KKkJNfGyhkQ5aFogxQAPU,"That's What I Like","24K Magic","Bruno Mars",2016-11-18,206693,92,false,noor.verbrugge,2026-02-15T22:36:51Z,"","Atlantic Records",0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,4
spotify:track:3w3y8KPTfNeOKPiqUTakBh,"Locked out of Heaven","Unorthodox Jukebox","Bruno Mars",2012-12-07,233478,92,false,noor.verbrugge,2026-02-15T22:36:57Z,"","Atlantic Records",0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,4
spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"APT.","rosie","ROSÉ;Bruno Mars",2024-12-06,169917,84,false,noor.verbrugge,2026-02-15T22:37:14Z,"k-pop","Atlantic Records",0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
spotify:track:47Slg6LuqLaX0VodpSCvPt,"Just the Way You Are","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,220734,83,false,noor.verbrugge,2026-02-15T22:37:33Z,"","Elektra (NEK)",0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,4
spotify:track:0M3HkE321xpCbCYqVKzr1q,"It Will Rain","It Will Rain","Bruno Mars",2011-09-28,257720,87,false,noor.verbrugge,2026-02-15T22:37:44Z,"","Elektra (NEK)",0.576,0.835,2,-6.826,1,0.0486,0.337,0,0.082,0.476,150.017,4
spotify:track:1wVuPmvt6AWvTL5W2GJnzZ,"Talking to the Moon","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,217866,79,false,noor.verbrugge,2026-02-15T22:37:49Z,"","Elektra (NEK)",0.498,0.59,1,-4.721,0,0.032,0.511,0,0.107,0.0784,145.867,4
spotify:track:4lLtanYk6tkMvooU0tWzG8,"Grenade","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,222091,84,false,noor.verbrugge,2026-02-15T22:37:54Z,"","Elektra (NEK)",0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,4
spotify:track:4pryE6cN2gFL1FVF5fYINl,"Leave The Door Open","An Evening With Silk Sonic","Bruno Mars;Anderson .Paak;Silk Sonic",2021-11-12,242096,71,false,noor.verbrugge,2026-02-15T22:38:21Z,"","Aftermath Entertainment/Atlantic",0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,4
spotify:track:7suB6D6uKX5DfPukdGaz0W,"Fly As Me","An Evening With Silk Sonic","Bruno Mars;Anderson .Paak;Silk Sonic",2021-11-12,219389,61,false,noor.verbrugge,2026-02-15T22:38:35Z,"","Aftermath Entertainment/Atlantic",0.783,0.627,2,-8.521,1,0.102,0.00756,0,0.0606,0.48,100.025,4
spotify:track:5lka5RUbLVQGO94mKAPMRO,"Put On A Smile","An Evening With Silk Sonic","Bruno Mars;Anderson .Paak;Silk Sonic",2021-11-12,255455,60,false,noor.verbrugge,2026-02-15T22:38:40Z,"","Aftermath Entertainment/Atlantic",0.548,0.627,9,-8.949,1,0.0409,0.0471,0,0.285,0.493,143.994,4
spotify:track:2NqyjfDXy0XfXCSPXMsKzi,"Blast Off","An Evening With Silk Sonic","Bruno Mars;Anderson .Paak;Silk Sonic",2021-11-12,284870,57,false,noor.verbrugge,2026-02-15T22:38:46Z,"","Aftermath Entertainment/Atlantic",0.482,0.548,11,-9.946,1,0.0373,0.0363,0.00000228,0.3,0.346,76.017,4
spotify:track:0kN8xEmgMW9mh7UmDYHlJP,"Versace on the Floor","24K Magic","Bruno Mars",2016-11-18,261240,84,false,noor.verbrugge,2026-02-15T22:39:00Z,"","Atlantic Records",0.578,0.574,2,-6.209,1,0.0454,0.196,0,0.083,0.301,174.152,4
spotify:track:2kXzKG2G7sJdSiGbQoVSR3,"Grenade","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,222091,32,false,noor.verbrugge,2026-02-15T22:39:22Z,"","Elektra (NEK)",0.699,0.557,5,-7.273,1,0.0624,0.147,0,0.106,0.232,110.457,4
spotify:track:1W6H5eBvjR9PE34j6h0ao5,"Talking to the Moon","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,217866,31,false,noor.verbrugge,2026-02-15T22:39:36Z,"","Elektra (NEK)",0.499,0.591,1,-4.721,0,0.0317,0.51,0,0.106,0.0786,145.753,4
spotify:track:7chsNWUBPFhUinB79CmG78,"The Other Side (feat. CeeLo Green and B.o.B)","Doo-Wops & Hooligans","Bruno Mars;B.o.B;CeeLo Green",2010-05-11,228346,29,false,noor.verbrugge,2026-02-15T22:39:43Z,"","Elektra (NEK)",0.555,0.815,5,-3.927,0,0.0303,0.0983,0.00000377,0.128,0.522,140.07,4
spotify:track:1fjlDyRyk0CLbFJkVvXjYb,"Count on Me","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,197469,31,false,noor.verbrugge,2026-02-15T22:39:47Z,"","Elektra (NEK)",0.588,0.388,0,-5.971,1,0.0281,0.853,0,0.0772,0.499,89.094,4
spotify:track:5jDbytR7OZhR1rIY3kypPQ,"The Lazy Song","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,189109,32,false,noor.verbrugge,2026-02-15T22:39:56Z,"","Elektra (NEK)",0.796,0.71,8,-5.124,0,0.0688,0.295,0,0.0956,0.955,174.912,4
spotify:track:0nJW01T7XtvILxQgC5J7Wh,"When I Was Your Man","Unorthodox Jukebox","Bruno Mars",2012-12-07,213826,90,false,noor.verbrugge,2026-02-15T22:40:08Z,"","Atlantic Records",0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,4
spotify:track:55h7vJchibLdUkxdlX3fK7,"Treasure","Unorthodox Jukebox","Bruno Mars",2012-12-07,178560,84,true,noor.verbrugge,2026-02-15T22:40:23Z,"","Atlantic Records",0.874,0.692,5,-5.28,0,0.0431,0.0412,0.0000724,0.324,0.937,116.017,4
