Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7J1uxwnxfQLu4APicE5Rnj,"Billie Jean","Thriller","Michael Jackson",1982-11-30,293802,87,false,noor.verbrugge,2026-02-15T22:42:10Z,"","Epic",0.932,0.457,11,-9.62,0,0.0541,0.0173,0.0436,0.0414,0.884,117.002,4
spotify:track:3BovdzfaX4jb5KFQwoPfAw,"Beat It","Thriller","Michael Jackson",1982-11-30,258296,83,false,noor.verbrugge,2026-02-15T22:42:12Z,"","Epic",0.776,0.711,3,-9.03,0,0.0473,0.0242,0.000353,0.234,0.901,138.728,4
spotify:track:76HKOVWqsEg26SECtmw7Rz,"The Way You Make Me Feel - 2012 Remaster","Bad (Remastered)","Michael Jackson",1987-08-31,298121,79,false,noor.verbrugge,2026-02-15T22:42:15Z,"","Epic/Legacy",0.877,0.854,1,-4.523,1,0.147,0.0544,0.000055,0.144,0.54,114.472,4
spotify:track:1hu2s7qkm5bo03eODpRQO3,"Wanna Be Startin' Somethin'","Thriller","Michael Jackson",1982-11-30,363400,73,false,noor.verbrugge,2026-02-15T22:42:18Z,"","Epic",0.842,0.872,9,-8.234,1,0.0455,0.0259,0.419,0.0573,0.906,122.111,4
spotify:track:3c7Ctlw9MKlIQPxRH3fOTt,"Man in the Mirror - 2012 Remaster","Bad (Remastered)","Michael Jackson",1987-08-31,318687,72,false,noor.verbrugge,2026-02-15T22:42:20Z,"","Epic/Legacy",0.808,0.812,8,-5.012,1,0.0381,0.52,0.0000791,0.134,0.269,100.331,4
spotify:track:1CgmY8fVN7kstVDZmsdM5k,"P.Y.T. (Pretty Young Thing)","Thriller","Michael Jackson",1982-11-30,238333,78,false,noor.verbrugge,2026-02-15T22:42:24Z,"","Epic",0.894,0.67,11,-9.406,0,0.0474,0.172,0.000363,0.0691,0.961,127.209,4
spotify:track:4jnFqNWeJCeCRHc4HCdxfd,"Remember the Time","Dangerous","Michael Jackson",1991-11-13,240134,81,false,noor.verbrugge,2026-02-15T22:42:30Z,"","Epic/Legacy",0.831,0.921,5,-2.383,0,0.0582,0.153,0.00224,0.305,0.795,108.002,4
spotify:track:5T7ywazdGIydr6JCW6t02j,"Smooth Criminal - 2012 Remaster","Bad (Remastered)","Michael Jackson",1987-08-31,257766,79,false,noor.verbrugge,2026-02-15T22:42:38Z,"","Epic/Legacy",0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,4
spotify:track:2LlQb7Uoj1kKyGhlkBf9aC,"Thriller","Thriller","Michael Jackson",1982-11-30,358807,75,false,noor.verbrugge,2026-02-15T22:42:42Z,"","Epic",0.771,0.687,11,-9.814,1,0.0693,0.0318,0.000225,0.89,0.783,118.392,4
spotify:track:2gSNBigeWMVtY3QBIvPAEc,"Bad - 2012 Remaster","Bad (Remastered)","Michael Jackson",1987-08-31,247368,73,false,noor.verbrugge,2026-02-15T22:42:44Z,"","Epic/Legacy",0.787,0.889,8,-3.786,1,0.0397,0.00462,0.423,0.0665,0.394,114.091,4
spotify:track:46eu3SBuFCXWsPT39Yg3tJ,"Don't Stop 'Til You Get Enough","Off the Wall","Michael Jackson",1979-08-10,364441,81,false,noor.verbrugge,2026-02-15T22:42:51Z,"","Epic",0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,4
spotify:track:7EsjkelQuoUlJXEw7SeVV4,"Black or White","Dangerous","Michael Jackson",1991-11-13,256017,74,false,noor.verbrugge,2026-02-15T22:42:55Z,"","Epic/Legacy",0.518,0.901,9,-3.749,1,0.093,0.174,0.0314,0.0712,0.873,115.026,4
spotify:track:7oOOI85fVQvVnK5ynNMdW7,"Rock with You - Single Version","Off the Wall","Michael Jackson",1979-08-10,219926,83,false,noor.verbrugge,2026-02-15T22:43:00Z,"","Epic",0.808,0.535,1,-12.521,1,0.0353,0.179,0.0000991,0.158,0.848,114.031,4
spotify:track:4cgjA7B4fJBHyB9Ya2bu0t,"Human Nature","Thriller","Michael Jackson",1982-11-30,245837,75,false,noor.verbrugge,2026-02-15T22:43:02Z,"","Epic",0.628,0.409,2,-14.348,1,0.0306,0.498,0.00565,0.29,0.755,93.005,4
spotify:track:1Lhwn4PqeGpM4LTVUowW76,"You Rock My World","Invincible","Michael Jackson",2001-10-29,338946,78,false,noor.verbrugge,2026-02-15T22:43:06Z,"","Epic",0.854,0.673,4,-3.132,0,0.185,0.038,0.000227,0.255,0.955,95,4
spotify:track:4GCGH6TJ69neckwITeBFXK,"Earth Song","HIStory - PAST, PRESENT AND FUTURE - BOOK I","Michael Jackson",1995-06-16,405933,72,false,noor.verbrugge,2026-02-15T22:43:15Z,"","Epic",0.501,0.439,3,-7.521,0,0.0313,0.482,0.000117,0.087,0.145,138.377,4
spotify:track:3AoeaZs8dFemFJr3JdzOL0,"You Are Not Alone","HIStory - PAST, PRESENT AND FUTURE - BOOK I","Michael Jackson",1995-06-16,344826,74,false,noor.verbrugge,2026-02-15T22:43:18Z,"","Epic",0.651,0.402,11,-9.303,1,0.028,0.639,0.0000773,0.0765,0.258,119.873,4
spotify:track:3wuCCNCnBhJlwkIJTBZFiv,"They Don't Care About Us","HIStory - PAST, PRESENT AND FUTURE - BOOK I","Michael Jackson",1995-06-16,284310,81,false,noor.verbrugge,2026-02-15T22:43:56Z,"","Epic",0.859,0.905,0,-5.539,0,0.129,0.205,0.00837,0.322,0.731,89.946,4
spotify:track:5BKKy9fIJL5uM9fz1SnqyP,"Chicago","XSCAPE","Michael Jackson",2014-05-09,245565,84,false,noor.verbrugge,2026-02-15T22:45:11Z,"","Epic/MJJ",0.608,0.756,7,-2.675,0,0.176,0.0784,0,0.187,0.55,176.086,4
spotify:track:0AcgKF7kbSoCkh3n7vlHwK,"Dirty Diana - 2012 Remaster","Bad (Remastered)","Michael Jackson",1987-08-31,280753,76,false,noor.verbrugge,2026-02-15T22:45:18Z,"","Epic/Legacy",0.744,0.815,3,-4.013,1,0.0446,0.194,0.000263,0.303,0.347,131.39,4
