TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0.000709999,0.0423708,1.93219,0.981534,0.856143,0.00188884,1.07402,0.20851,0.106104,1.55931,0.478135,0.16572
0.092879819,0.0369258,0.0581184,2.09339,0.728309,0.75646,0,1.07696,0.197377,0.169074,1.36381,0.585443,0.108242
0.139319728,0.0670023,0.225793,2.0727,0.325596,0.715874,0.00648998,1.1287,0.187074,0.418742,1.18101,0.681428,0.00809819
0.185759637,0.0436172,0.417996,2.1657,0.200091,0.297059,0.0159804,1.11643,0.223013,0.623921,1.26423,0.639379,0
0.232199546,0.000713074,0.422881,2.37151,0.200691,0.10763,0.252912,1.11558,0.350087,0.527764,1.16882,0.342511,0
0.278639456,0.00031424,0.255985,2.43138,0.22674,0.112612,0.644059,1.08588,0.215826,0.282036,1.30529,0.121752,0.0680279
0.325079365,0.0179358,0.161278,2.45166,0.226233,0.225419,0.374744,1.00125,0.342868,0.271121,1.46623,0.151039,0.204683
0.371519274,0.243625,0.0801586,2.71583,0.124853,0.208184,0.253999,0.950147,0.245781,0.610876,1.45299,0.213788,0.313238
0.417959184,0.264592,0.0351128,2.60509,0.226618,0.137927,0.187786,1.01615,0.210874,0.693897,1.52116,0.199452,0.0989602
0.464399093,0.0988141,0.487655,2.29943,0.463896,0.164399,0.00462655,0.71372,0.21972,0.52464,1.50948,0.196879,0.348876
0.510839002,0.0208997,0.753644,1.80481,0.362099,0.949411,0.0290072,0.3191,0.225361,0.496543,1.36793,0.353743,0.521927
0.557278912,0.00789327,0.222695,1.58852,0.587029,1.05699,0.00955885,0.535647,0.247688,0.698411,1.34377,0.374744,0.531349
0.603718821,4.02625e-05,0.00466137,1.54039,1.08524,0.547447,0.0110971,0.778539,0.193811,0.842937,1.70622,0.0204269,0.77899
0.650158730,0.0396678,0.0365392,1.45558,0.696717,0.553006,0.0121927,0.800691,0.432633,0.707251,2.03813,0.00656219,0.569662
0.696598639,0.0893936,0.051312,1.64725,0.161427,0.600191,0.0137399,0.908897,0.431345,0.653325,1.87123,0.0490041,0.0939959
0.743038549,0.0836054,0.205447,1.55045,0.135673,0.69324,0.0216994,0.919437,0.304447,0.987993,1.424,0.328931,0.0755878
0.789478458,0.0649306,0.210556,1.55498,0.238742,0.692215,0.0100808,1.00513,0.26336,1.24922,1.37852,0.286062,0.0954944
0.835918367,0.229585,0.166121,1.90349,0.413608,0.564415,0,1.27706,0.326591,1.0653,1.38322,0.123406,0.120622
0.882358277,0.34824,0.172443,2.05781,0.433967,0.253367,0.121784,1.50298,0.342677,0.597248,1.5081,0.136887,0.239589
