TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-1.84741e-13,2.13163e-13,-5.68434e-14,1.42109e-13,-7.38964e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.12639e-13,-6.25278e-13,1.56319e-13,-2.70006e-13,-6.96332e-13,2.27374e-13,-2.28795e-12
0.023219955,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-1.84741e-13,2.13163e-13,-5.68434e-14,1.42109e-13,-7.38964e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.12639e-13,-6.25278e-13,1.56319e-13,-2.70006e-13,-6.96332e-13,2.27374e-13,-2.28795e-12
0.046439909,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-1.84741e-13,2.13163e-13,-5.68434e-14,1.42109e-13,-7.38964e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.12639e-13,-6.25278e-13,1.56319e-13,-2.70006e-13,-6.96332e-13,2.27374e-13,-2.28795e-12
0.069659864,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-1.84741e-13,2.13163e-13,-5.68434e-14,1.42109e-13,-7.38964e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.12639e-13,-6.25278e-13,1.56319e-13,-2.70006e-13,-6.96332e-13,2.27374e-13,-2.28795e-12
0.092879819,-643.106,6.08832,-8.02426,9.05888,-22.1727,14.6707,0.966289,11.5886,-5.94446,4.11852,5.05535,7.55863,-4.00732,-0.0718311,-6.71866,8.66666,0.366509,-5.8023,3.56158,-5.20825,3.15185
0.116099773,-315.006,1.44023,-1.17883,16.4358,0.108371,2.32759,1.18421,9.12916,-4.52671,3.43848,2.87806,-0.929307,-0.844144,7.03254,-3.46784,1.58213,1.39041,1.58965,-1.51784,-0.644642,-0.829391
0.139319728,-316.294,-1.97755,2.83065,19.4923,1.81534,2.097,0.769689,5.27179,-7.54002,1.49937,1.45484,1.24152,-1.77106,3.54746,-5.96382,0.462775,1.85149,3.94925,0.457847,3.96039,-0.853456
0.162539683,-311.893,0.50052,0.392716,16.154,1.61506,1.46324,2.81473,9.03067,-7.14807,2.96073,1.98855,-1.84431,-2.64151,3.84625,-6.24285,2.53477,1.39175,1.57117,1.05811,1.24822,-0.372359
0.185759637,-314.077,-0.0841362,3.36763,20.9769,4.70279,5.84103,4.50626,10.5407,-3.86399,4.03666,1.57878,0.373103,-3.05747,5.34194,-5.29319,-0.0449517,-1.03104,0.982048,0.110635,2.09256,-1.16459
0.208979592,-312.842,-4.22306,2.31569,18.8834,3.32361,2.06047,-0.0199902,5.79701,-5.54787,1.42397,0.53253,-0.975205,-0.801291,5.57751,-3.38136,-0.57252,-0.161678,-0.456249,0.810347,4.45505,-0.352742
0.232199546,-314.279,-1.35102,0.782128,17.7863,2.35118,2.54277,2.85418,9.1875,-5.29735,1.48609,1.69093,-1.12554,-3.67264,2.55832,-5.8016,-0.376793,0.457021,2.03589,0.0987194,2.49797,-0.879732
0.255419501,-315.102,-1.25004,0.601262,17.0085,0.522114,2.03401,1.77318,8.50384,-4.87582,3.96402,2.43519,3.08101,-0.84879,5.80333,-5.71202,-0.530886,-0.841039,-0.732805,-2.67145,2.06304,-0.12584
0.278639456,-312.509,-0.036187,2.68881,21.1093,3.36528,4.73683,2.0232,8.09295,-7.81135,1.64959,-0.725608,-0.13878,-2.43237,4.37883,-4.60689,2.6747,-0.143095,-0.560764,-1.64159,2.17482,-1.08137
0.301859410,-313.277,-2.89666,3.22158,17.2582,0.562816,-0.714922,-0.759019,6.96294,-5.84404,1.87994,2.17881,0.482259,-1.52785,2.30195,-4.83471,0.082984,0.398724,0.549748,-0.96036,1.83383,-1.56635
0.325079365,-314.316,-1.35617,0.241105,20.4382,3.61507,7.59079,5.1575,10.7287,-4.71018,4.97252,2.18471,1.71838,-0.625152,4.84452,-5.53754,-0.53815,-0.275015,1.06063,-1.54899,3.76015,-1.62979
0.348299320,-316.225,-0.956599,2.41081,21.0546,5.46974,6.37286,3.53186,7.66606,-8.40746,-1.14685,1.78658,-0.214172,-2.26192,4.48164,-4.52465,-0.367951,-0.191023,0.00521194,0.311049,2.15002,-2.84339
0.371519274,-317.601,-3.0401,0.0923025,17.7929,0.683764,1.54508,1.48054,6.8429,-8.12333,2.08647,2.31025,-1.98728,-1.74909,4.21789,-6.00509,-0.111143,-0.700534,-0.715847,-0.124039,2.1995,-1.11456
0.394739229,-317.251,-2.85314,1.65327,18.3429,2.05313,1.17665,-0.528951,7.61232,-5.64549,1.78264,2.3388,0.112437,-2.89556,1.34767,-6.79936,-0.165085,0.188578,-0.176428,2.21955,3.86447,0.475432
0.417959184,-317.638,2.46569,0.52157,17.3461,1.74273,4.16269,0.371252,13.1956,-8.48774,0.70405,2.74479,-0.8852,-1.90959,6.6094,-9.37508,1.29791,-0.483824,-1.91607,1.07442,0.694526,-3.76714
0.441179138,-317.774,-2.5029,1.88249,20.208,3.82798,4.34354,1.89822,8.2952,-6.55554,1.94943,3.22293,0.707964,0.232384,6.25204,-3.66612,1.93137,1.71545,1.32548,0.526001,2.07486,-2.30076
